id,Level,asdf_id,gqid,shapeGroup,shapeID,shapeName,shapeType
"103",ADM2,"103","103",MEX,MEX-ADM2-50627088B86725855,Saltillo,ADM2
"104",ADM2,"104","104",MEX,MEX-ADM2-50627088B40827139,Castaños,ADM2
"105",ADM2,"105","105",MEX,MEX-ADM2-50627088B85494221,Ramos Arizpe,ADM2
"106",ADM2,"106","106",MEX,MEX-ADM2-50627088B26529710,Progreso,ADM2
"107",ADM2,"107","107",MEX,MEX-ADM2-50627088B23894664,Juárez,ADM2
"108",ADM2,"108","108",MEX,MEX-ADM2-50627088B4491707,Hidalgo,ADM2
"109",ADM2,"109","109",MEX,MEX-ADM2-50627088B81826232,Candela,ADM2
"110",ADM2,"110","110",MEX,MEX-ADM2-50627088B66975652,Arteaga,ADM2
"111",ADM2,"111","111",MEX,MEX-ADM2-50627088B91797721,Torreón,ADM2
"112",ADM2,"112","112",MEX,MEX-ADM2-50627088B10955286,Zaragoza,ADM2
"113",ADM2,"113","113",MEX,MEX-ADM2-50627088B11339424,Villa Unión,ADM2
"114",ADM2,"114","114",MEX,MEX-ADM2-50627088B45642802,Viesca,ADM2
"115",ADM2,"115","115",MEX,MEX-ADM2-50627088B11516483,Sierra Mojada,ADM2
"116",ADM2,"116","116",MEX,MEX-ADM2-50627088B50529410,San Pedro,ADM2
"117",ADM2,"117","117",MEX,MEX-ADM2-50627088B19527271,San Juan de Sabinas,ADM2
"118",ADM2,"118","118",MEX,MEX-ADM2-50627088B46918107,San Buenaventura,ADM2
"119",ADM2,"119","119",MEX,MEX-ADM2-50627088B52521772,Sacramento,ADM2
"120",ADM2,"120","120",MEX,MEX-ADM2-50627088B37304352,Sabinas,ADM2
"121",ADM2,"121","121",MEX,MEX-ADM2-50627088B87891146,Piedras Negras,ADM2
"122",ADM2,"122","122",MEX,MEX-ADM2-50627088B50455303,Parras,ADM2
"123",ADM2,"123","123",MEX,MEX-ADM2-50627088B58837003,Ocampo,ADM2
"124",ADM2,"124","124",MEX,MEX-ADM2-50627088B55839262,Nava,ADM2
"125",ADM2,"125","125",MEX,MEX-ADM2-50627088B72941455,Nadadores,ADM2
"126",ADM2,"126","126",MEX,MEX-ADM2-50627088B44895135,Múzquiz,ADM2
"127",ADM2,"127","127",MEX,MEX-ADM2-50627088B46892690,Morelos,ADM2
"128",ADM2,"128","128",MEX,MEX-ADM2-50627088B71935193,Monclova,ADM2
"129",ADM2,"129","129",MEX,MEX-ADM2-50627088B14993807,Matamoros,ADM2
"130",ADM2,"130","130",MEX,MEX-ADM2-50627088B79618658,Lamadrid,ADM2
"131",ADM2,"131","131",MEX,MEX-ADM2-50627088B12631256,Jiménez,ADM2
"132",ADM2,"132","132",MEX,MEX-ADM2-50627088B11986070,Guerrero,ADM2
"133",ADM2,"133","133",MEX,MEX-ADM2-50627088B14880430,General Cepeda,ADM2
"134",ADM2,"134","134",MEX,MEX-ADM2-50627088B20952883,Frontera,ADM2
"135",ADM2,"135","135",MEX,MEX-ADM2-50627088B95094602,Francisco I. Madero,ADM2
"136",ADM2,"136","136",MEX,MEX-ADM2-50627088B36823061,Escobedo,ADM2
"137",ADM2,"137","137",MEX,MEX-ADM2-50627088B72970352,Cuatro Ciénegas,ADM2
"138",ADM2,"138","138",MEX,MEX-ADM2-50627088B46557689,Allende,ADM2
"139",ADM2,"139","139",MEX,MEX-ADM2-50627088B9174358,Acuña,ADM2
"140",ADM2,"140","140",MEX,MEX-ADM2-50627088B54139078,Abasolo,ADM2
"141",ADM2,"141","141",MEX,MEX-ADM2-50627088B18182354,Armería,ADM2
"142",ADM2,"142","142",MEX,MEX-ADM2-50627088B41297471,Colima,ADM2
"143",ADM2,"143","143",MEX,MEX-ADM2-50627088B70244517,Comala,ADM2
"144",ADM2,"144","144",MEX,MEX-ADM2-50627088B14860445,Coquimatlán,ADM2
"145",ADM2,"145","145",MEX,MEX-ADM2-50627088B25802732,Cuauhtémoc,ADM2
"146",ADM2,"146","146",MEX,MEX-ADM2-50627088B6266739,Ixtlahuacán,ADM2
"147",ADM2,"147","147",MEX,MEX-ADM2-50627088B47747138,Manzanillo,ADM2
"148",ADM2,"148","148",MEX,MEX-ADM2-50627088B80532237,Minatitlán,ADM2
"149",ADM2,"149","149",MEX,MEX-ADM2-50627088B53166711,Tecomán,ADM2
"150",ADM2,"150","150",MEX,MEX-ADM2-50627088B95000315,Villa de Álvarez,ADM2
"151",ADM2,"151","151",MEX,MEX-ADM2-50627088B15392248,Chiapa de Corzo,ADM2
"152",ADM2,"152","152",MEX,MEX-ADM2-50627088B80646505,Tuxtla Gutiérrez,ADM2
"153",ADM2,"153","153",MEX,MEX-ADM2-50627088B32288398,La Trinitaria,ADM2
"154",ADM2,"154","154",MEX,MEX-ADM2-50627088B38127184,Tuxtla Chico,ADM2
"155",ADM2,"155","155",MEX,MEX-ADM2-50627088B99615129,Metapa,ADM2
"156",ADM2,"156","156",MEX,MEX-ADM2-50627088B16907035,Maravilla Tenejapa,ADM2
"157",ADM2,"157","157",MEX,MEX-ADM2-50627088B37288295,Ocosingo,ADM2
"158",ADM2,"158","158",MEX,MEX-ADM2-50627088B68191722,Tapachula,ADM2
"159",ADM2,"159","159",MEX,MEX-ADM2-50627088B60910979,La Independencia,ADM2
"160",ADM2,"160","160",MEX,MEX-ADM2-50627088B84956913,Acapetahua,ADM2
"161",ADM2,"161","161",MEX,MEX-ADM2-50627088B52228190,Escuintla,ADM2
"162",ADM2,"162","162",MEX,MEX-ADM2-50627088B47575550,La Libertad,ADM2
"163",ADM2,"163","163",MEX,MEX-ADM2-50627088B85610628,Tonalá,ADM2
"164",ADM2,"164","164",MEX,MEX-ADM2-50627088B25625926,Tecpatán,ADM2
"165",ADM2,"165","165",MEX,MEX-ADM2-50627088B33290345,Tapalapa,ADM2
"166",ADM2,"166","166",MEX,MEX-ADM2-50627088B59823761,Sunuapa,ADM2
"167",ADM2,"167","167",MEX,MEX-ADM2-50627088B21432111,San Fernando,ADM2
"168",ADM2,"168","168",MEX,MEX-ADM2-50627088B49636033,Reforma,ADM2
"169",ADM2,"169","169",MEX,MEX-ADM2-50627088B46949355,Ostuacán,ADM2
"170",ADM2,"170","170",MEX,MEX-ADM2-50627088B85290187,Ocotepec,ADM2
"171",ADM2,"171","171",MEX,MEX-ADM2-50627088B13255273,Juárez,ADM2
"172",ADM2,"172","172",MEX,MEX-ADM2-50627088B62542236,Ixtacomitán,ADM2
"173",ADM2,"173","173",MEX,MEX-ADM2-50627088B68385772,Francisco León,ADM2
"174",ADM2,"174","174",MEX,MEX-ADM2-50627088B88106493,Chapultenango,ADM2
"175",ADM2,"175","175",MEX,MEX-ADM2-50627088B57524162,Copainalá,ADM2
"176",ADM2,"176","176",MEX,MEX-ADM2-50627088B45839545,Arriaga,ADM2
"177",ADM2,"177","177",MEX,MEX-ADM2-50627088B4877426,Ixhuatán,ADM2
"178",ADM2,"178","178",MEX,MEX-ADM2-50627088B16437221,Huixtla,ADM2
"179",ADM2,"179","179",MEX,MEX-ADM2-50627088B60351930,Huitiupán,ADM2
"180",ADM2,"180","180",MEX,MEX-ADM2-50627088B29972840,Huixtán,ADM2
"181",ADM2,"181","181",MEX,MEX-ADM2-50627088B46604509,Huehuetán,ADM2
"182",ADM2,"182","182",MEX,MEX-ADM2-50627088B70018734,Frontera Hidalgo,ADM2
"183",ADM2,"183","183",MEX,MEX-ADM2-50627088B13691951,Frontera Comalapa,ADM2
"184",ADM2,"184","184",MEX,MEX-ADM2-50627088B91341931,Chilón,ADM2
"185",ADM2,"185","185",MEX,MEX-ADM2-50627088B82215446,Chicomuselo,ADM2
"186",ADM2,"186","186",MEX,MEX-ADM2-50627088B25503806,Chicoasén,ADM2
"187",ADM2,"187","187",MEX,MEX-ADM2-50627088B91133884,Chiapilla,ADM2
"188",ADM2,"188","188",MEX,MEX-ADM2-50627088B34065511,Chenalhó,ADM2
"189",ADM2,"189","189",MEX,MEX-ADM2-50627088B7452566,Chanal,ADM2
"190",ADM2,"190","190",MEX,MEX-ADM2-50627088B61821020,Chamula,ADM2
"191",ADM2,"191","191",MEX,MEX-ADM2-50627088B68262395,Chalchihuitán,ADM2
"192",ADM2,"192","192",MEX,MEX-ADM2-50627088B78276275,Comitán de Domínguez,ADM2
